"filename", "language", "Python", "JSON", "XML", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "JSON", 0, 99, 0, 0, 0, 0, 0, 0, 1, 100
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/Untitled.ipynb", "JSON", 0, 277, 0, 0, 0, 0, 0, 0, 1, 278
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/backend/app.py", "Python", 46, 0, 0, 0, 0, 0, 0, 1, 13, 60
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/backend/tempCodeRunnerFile.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/firebase.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 10, 0, 18
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/package-lock.json", "JSON", 0, 21321, 0, 0, 0, 0, 0, 0, 1, 21322
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/package.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/data/molecules/1BNA.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/data/molecules/1FFY.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/data/molecules/1XBR.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/data/molecules/2OEY.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/bryan/Library/CloudStorage/OneDrive-LoomisChaffeeSchool/Loomis/CL Chemistry/project/my-app/public/chemdoodle/data/molecules/3CC2.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
